graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,33,201,0,True,False,False
0,201,33,0,True,False,False
0,201,31,0,True,False,False
0,31,201,0,True,False,False
0,134,201,0,True,False,False
0,201,134,0,True,False,False
0,201,175,0,True,False,False
0,175,201,0,True,False,False
0,201,121,0,True,False,False
0,121,201,0,True,False,False
0,201,50,0,True,False,False
0,50,201,0,True,False,False
0,201,47,0,True,False,False
0,47,201,0,True,False,False
0,149,56,0,True,False,False
0,56,149,0,True,False,False
0,95,56,0,True,False,False
0,56,95,0,True,False,False
0,56,133,0,True,False,False
0,133,56,0,True,False,False
0,56,130,0,True,False,False
0,130,56,0,True,False,False
0,121,56,0,True,False,False
0,56,121,0,True,False,False
0,173,56,0,True,False,False
0,56,173,0,True,False,False
0,56,157,0,True,False,False
0,157,56,0,True,False,False
0,179,0,0,True,False,False
0,0,179,0,True,False,False
0,179,81,0,True,False,False
0,81,179,0,True,False,False
0,179,167,0,True,False,False
0,167,179,0,True,False,False
0,179,30,0,True,False,False
0,30,179,0,True,False,False
0,179,25,0,True,False,False
0,25,179,0,True,False,False
0,50,179,0,True,False,False
0,179,50,0,True,False,False
0,179,79,0,True,False,False
0,79,179,0,True,False,False
0,97,179,0,True,False,False
0,179,97,0,True,False,False
0,137,144,0,True,False,False
0,144,137,0,True,False,False
0,137,171,0,True,False,False
0,171,137,0,True,False,False
0,89,137,0,True,False,False
0,137,89,0,True,False,False
0,137,127,0,True,False,False
0,127,137,0,True,False,False
0,137,67,0,True,False,False
0,67,137,0,True,False,False
0,185,46,0,True,False,False
0,46,185,0,True,False,False
0,164,185,0,True,False,False
0,185,164,0,True,False,False
0,30,185,0,True,False,False
0,185,30,0,True,False,False
0,185,87,0,True,False,False
0,87,185,0,True,False,False
0,50,185,0,True,False,False
0,185,50,0,True,False,False
0,173,185,0,True,False,False
0,185,173,0,True,False,False
0,134,124,0,True,False,False
0,124,134,0,True,False,False
0,88,134,0,True,False,False
0,134,88,0,True,False,False
0,124,50,0,True,False,False
0,50,124,0,True,False,False
0,124,97,0,True,False,False
