graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,X,Y,Z
0,0,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,94.989967,6.5
0,1,0,True,False,False,0.0,0.0,0.0,1.0,81.622624,89.066181,3.75
0,2,0,True,False,False,0.0,0.0,0.0,1.0,81.622624,89.066181,1.25
0,3,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,87.091587,18.5
0,4,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,91.040779,15.5
0,5,0,True,False,False,0.0,0.0,0.0,1.0,90.231045,89.066181,3.75
0,6,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,87.091587,6.5
0,7,0,True,False,False,0.0,0.0,0.0,1.0,90.231045,89.066181,1.25
0,8,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,83.142395,21.5
0,9,0,True,False,False,0.0,0.0,0.0,1.0,86.250595,85.116993,1.25
0,10,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,94.989967,12.5
0,11,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,87.091587,12.5
0,12,0,True,False,False,1.0,0.0,0.0,0.0,92.961876,98.616974,-1.0
0,13,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,94.989967,21.5
0,14,0,True,False,False,1.0,0.0,0.0,0.0,112.961876,68.616972,-1.0
0,15,0,True,False,False,0.0,0.0,0.0,1.0,90.231045,93.015369,3.75
0,16,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,91.040779,9.5
0,17,0,True,False,False,0.0,0.0,0.0,1.0,86.250595,81.167801,1.25
0,18,0,True,False,False,0.0,0.0,0.0,1.0,94.965962,89.066181,3.75
0,19,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,79.193207,18.5
0,20,0,True,False,False,1.0,0.0,0.0,0.0,82.961876,78.616974,-1.0
0,21,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,83.142395,15.5
0,22,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,87.091587,18.5
0,23,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,94.989967,15.5
0,24,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,87.091587,9.5
0,25,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,83.142395,12.5
0,26,0,True,False,False,0.0,0.0,0.0,1.0,94.965962,93.01537,1.25
0,27,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,87.091587,6.5
0,28,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,91.040779,6.5
0,29,0,True,False,False,0.0,0.0,1.0,0.0,88.312958,87.091587,6.5
0,30,0,True,False,False,0.0,0.0,0.0,1.0,94.965962,89.066181,1.25
0,31,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,91.040779,21.5
0,32,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,79.193207,12.5
0,33,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,83.142395,6.5
0,34,0,True,False,False,0.0,0.0,1.0,0.0,88.312958,87.091587,9.5
0,35,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,79.193207,21.5
0,36,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,91.040779,6.5
0,37,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,91.040779,15.5
0,38,0,True,False,False,0.0,0.0,1.0,0.0,88.312958,87.091587,15.5
0,39,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,91.040779,18.5
0,40,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,79.193207,9.5
0,41,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,94.989967,9.5
0,42,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,79.193207,21.5
0,43,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,79.193207,9.5
0,44,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,83.142395,21.5
0,45,0,True,False,False,0.0,1.0,0.0,0.0,83.437958,83.142395,9.5
0,46,0,True,False,False,0.0,0.0,0.0,1.0,90.231045,81.167801,1.25
0,47,0,True,False,False,0.0,0.0,1.0,0.0,88.312958,87.091587,21.5
0,48,0,True,False,False,0.0,0.0,0.0,1.0,81.622624,93.01537,1.25
0,49,0,True,False,False,0.0,0.0,1.0,0.0,88.312958,75.218613,12.0
0,50,0,True,False,False,0.0,1.0,0.0,0.0,93.187958,87.091587,21.5
