graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,187,54,0,TRUE,FALSE,FALSE
0,54,187,0,TRUE,FALSE,FALSE
0,54,153,0,TRUE,FALSE,FALSE
0,153,54,0,TRUE,FALSE,FALSE
0,54,75,0,TRUE,FALSE,FALSE
0,75,54,0,TRUE,FALSE,FALSE
0,114,9,0,TRUE,FALSE,FALSE
0,9,114,0,TRUE,FALSE,FALSE
0,9,97,0,TRUE,FALSE,FALSE
0,97,9,0,TRUE,FALSE,FALSE
0,9,74,0,TRUE,FALSE,FALSE
0,74,9,0,TRUE,FALSE,FALSE
0,99,9,0,TRUE,FALSE,FALSE
0,9,99,0,TRUE,FALSE,FALSE
0,9,10,0,TRUE,FALSE,FALSE
0,10,9,0,TRUE,FALSE,FALSE
0,9,23,0,TRUE,FALSE,FALSE
0,23,9,0,TRUE,FALSE,FALSE
0,9,38,0,TRUE,FALSE,FALSE
0,38,9,0,TRUE,FALSE,FALSE
0,13,114,0,TRUE,FALSE,FALSE
0,114,13,0,TRUE,FALSE,FALSE
0,188,13,0,TRUE,FALSE,FALSE
0,13,188,0,TRUE,FALSE,FALSE
0,31,13,0,TRUE,FALSE,FALSE
0,13,31,0,TRUE,FALSE,FALSE
0,13,8,0,TRUE,FALSE,FALSE
0,8,13,0,TRUE,FALSE,FALSE
0,29,114,0,TRUE,FALSE,FALSE
0,114,29,0,TRUE,FALSE,FALSE
0,188,29,0,TRUE,FALSE,FALSE
0,29,188,0,TRUE,FALSE,FALSE
0,29,99,0,TRUE,FALSE,FALSE
0,99,29,0,TRUE,FALSE,FALSE
0,114,55,0,TRUE,FALSE,FALSE
0,55,114,0,TRUE,FALSE,FALSE
0,55,97,0,TRUE,FALSE,FALSE
0,97,55,0,TRUE,FALSE,FALSE
0,55,100,0,TRUE,FALSE,FALSE
0,100,55,0,TRUE,FALSE,FALSE
0,8,55,0,TRUE,FALSE,FALSE
0,55,8,0,TRUE,FALSE,FALSE
0,75,159,0,TRUE,FALSE,FALSE
0,159,75,0,TRUE,FALSE,FALSE
